title,list_price,bedrooms,bathrooms,sqft,full_link,full_address,postal_code,lat,long,type,Sold on,style,age,tax,sqft_min,sqft_max,sqft_avg
4409 - 14 York Street,620000,1.0,1.0,500-599 ,https://www.zolo.ca/toronto-real-estate/14-york-street/4409,"14 York street, Toronto ",M5J2Z2,43.642,-79.3815,Condo,2021-12-28,Apt,No Data,"$2,640 /yr",500,599,549.5
31 Norway Avenue East,1250000,3.0,2.0,1100-1500 ,https://www.zolo.ca/toronto-real-estate/31-norway-avenue-east,"31 Norway avenue, Toronto ",M4L1P7,43.6724,-79.3059,Semi-Detached,2021-12-28,house,No Data,"$2,779 /yr",1100,1500,1300.0
1009 - 220 Victoria Street,689800,1.0,2.0,700-799 ,https://www.zolo.ca/toronto-real-estate/220-victoria-street/1009,"220 Victoria street, Toronto ",M5B2R6,43.6549,-79.3792,Condo,2021-12-28,Apt,No Data,"$2,499 /yr",700,799,749.5
1601 - 2152 Lawrence Avenue East,649900,2.0,2.0,900-999 ,https://www.zolo.ca/toronto-real-estate/2152-lawrence-avenue-east/1601,"2152 Lawrence avenue, Toronto M",1R 3A7,43.7476,-79.286,Condo,2021-12-28,Apt,No Data,"$1,989 /yr",900,999,949.5
49 Halfmoon Square,1249000,4.0,3.0,1500-2000 ,https://www.zolo.ca/toronto-real-estate/49-halfmoon-square,"49 Halfmoon square, Toronto M",1C 3V4,43.7945,-79.1821,Detached,2021-12-27,house,No Data,"$3,556 /yr",1500,2000,1750.0
502 - 3231 Eglinton Avenue East,450000,2.0,2.0,1000-1199 ,https://www.zolo.ca/toronto-real-estate/3231-eglinton-avenue-east/502,"3231 Eglinton avenue, Toronto M",1J 3N5,43.7438,-79.2132,Condo,2021-12-27,Apt,No Data,"$1,301 /yr",1000,1199,1099.5
1201 - 130 Neptune Drive,649900,3.0,2.0,1400-1599 ,https://www.zolo.ca/toronto-real-estate/130-neptune-drive/1201,"130 Neptune Drive, Toronto ",M6A1X5,43.73,-79.4395,Condo,2021-12-27,Apt,No Data,"$1,552 /yr",1400,1599,1499.5
410 - 650 Sheppard Avenue East,625000,1.0,1.0,700-799 ,https://www.zolo.ca/toronto-real-estate/650-sheppard-avenue-east/410,"650 Sheppard avenue, Toronto ",M2K1B7,43.7685,-79.3816,Condo,2021-12-27,Apt,No Data,"$2,071 /yr",700,799,749.5
510 - 2756 Old Leslie Street,599900,1.0,2.0,600-699 ,https://www.zolo.ca/toronto-real-estate/2756-old-leslie-street/510,"2756 Old Leslie street, Toronto ",M2K0E2,43.7697,-79.3667,Condo,2021-12-27,Apt,No Data,"$2,045 /yr",600,699,649.5
1506 - 38 Lee Centre Drive,460000,1.0,1.0,500-599 ,https://www.zolo.ca/toronto-real-estate/38-lee-centre-drive/1506,"38 Lee Centre Drive, Toronto M",1H 3J7,43.7818,-79.2466,Condo,2021-12-27,Apt,No Data,"$1,167 /yr",500,599,549.5
1604 - 158 Front Street East,599000,1.0,1.0,0-499 ,https://www.zolo.ca/toronto-real-estate/158-front-street-east/1604,"158 Front street, Toronto ",M5A1E5,43.6504,-79.3687,Condo,2021-12-28,Apt,No Data,No Data,0,499,249.5
3009 - 8 Park Road,648888,1.0,1.0,600-699 ,https://www.zolo.ca/toronto-real-estate/8-park-road/3009,"8 Park road, Toronto ",M4W3S5,43.6712,-79.3845,Condo,2021-12-28,Apt,No Data,"$2,334 /yr",600,699,649.5
12 Victoria Street,2395000,6.0,6.0,5000 ,https://www.zolo.ca/toronto-real-estate/12-victoria-street,"12 Victoria street, Toronto ",M8V1M6,43.6199,-79.4879,Multiplex,2021-12-28,Other,No Data,"$7,980 /yr",5000,5000,5000.0
1903 - 503 Beecroft Road,645000,1.0,1.0,600-699 ,https://www.zolo.ca/toronto-real-estate/503-beecroft-road/1903,"503 Beecroft road, Toronto ",M2N0A2,43.7784,-79.4179,Condo,2021-12-27,Apt,No Data,"$1,986 /yr",600,699,649.5
1612 - 33 Bay Street,1158000,2.0,2.0,1000-1199 ,https://www.zolo.ca/toronto-real-estate/33-bay-street/1612,"33 Bay street, Toronto ",M5J2Z3,43.6428,-79.377,Condo,2021-12-28,Apt,No Data,"$4,314 /yr",1000,1199,1099.5
116 - 701 Sheppard Avenue West,988000,3.0,3.0,1800-1999 ,https://www.zolo.ca/toronto-real-estate/701-sheppard-avenue-west/116,"701 Sheppard avenue, Toronto ",M3H2S7,43.7542,-79.4433,Condo,2021-12-27,Apt,No Data,"$402,658 /yr",1800,1999,1899.5
619 - 800 Lawrence Avenue West,629000,1.0,1.0,600-699 ,https://www.zolo.ca/toronto-real-estate/800-lawrence-avenue-west/619,"800 Lawrence avenue, Toronto ",M6A1C3,43.7145,-79.4535,Condo,2021-12-27,Apt,No Data,"$2,432 /yr",600,699,649.5
1111 - 3237 Bayview Avenue,709000,2.0,2.0,800-899 ,https://www.zolo.ca/toronto-real-estate/3237-bayview-avenue/1111,"3237 Bayview avenue, Toronto M",2K 0G1,43.79,-79.3926,Condo,2021-12-28,Apt,No Data,"$2,893 /yr",800,899,849.5
402 - 240 Scarlett Road,619000,2.0,1.0,1000-1199 ,https://www.zolo.ca/toronto-real-estate/240-scarlett-road/402,"240 Scarlett road, Toronto ",M6N4X4,43.6757,-79.5081,Condo,2021-12-26,Apt,No Data,"$1,937 /yr",1000,1199,1099.5
801 - 25 Grenville Street,568000,1.0,1.0,700-799 ,https://www.zolo.ca/toronto-real-estate/25-grenville-street/801,"25 Grenville street, Toronto ",M4Y2X5,43.6618,-79.3847,Condo,2021-12-27,Apt,No Data,"$1,931 /yr",700,799,749.5
1412 - 2045 Lake Shore Boulevard West,1200000,2.0,2.0,1400-1599 ,https://www.zolo.ca/toronto-real-estate/2045-lake-shore-boulevard-west/1412,"2045 Lake Shore boulevard, Toronto ",M8V2Z6,43.6314,-79.4746,Condo,2021-12-27,Apt,No Data,"$2,729 /yr",1400,1599,1499.5
5101 - 488 University Avenue,1125000,2.0,2.0,800-899 ,https://www.zolo.ca/toronto-real-estate/488-university-avenue/5101,"488 University avenue, Toronto ",M5G0C1,43.6552,-79.3889,Condo,2021-12-26,Apt,No Data,"$3,244 /yr",800,899,849.5
291 Caledonia Road,1479900,3.0,3.0,2000-2500 ,https://www.zolo.ca/toronto-real-estate/291-caledonia-road,"291 Caledonia road, Toronto ",M6E4T4,43.6838,-79.458,Semi-Detached,2021-12-26,house,No Data,No Data,2000,2500,2250.0
